campaign_id,company,campaign_name,industry,channel,city,state,start_date,end_date,budget_inr,spend_inr,impressions,clicks,conversions,revenue_inr,campaign_manager,status
IND-CMP-10460,Tata 1mg,Flash Sale,Travel,WhatsApp,Lucknow,Telangana,2025-01-19,2025-02-24,658083.0,610948,98204,3762,703,3434155,Rohit Gupta,Active
IND-CMP-10816,PhonePe,Independence Day Sale,FinTech,Email,Hyderabad,Haryana,2025-03-22,2025-04-29,350974.0,346977,1929046,217550,3596,12050196,Karthik Iyer,Completed
IND-CMP-10099,Byju's,Republic Day Offer,EdTech,LinkedIn,Chandigarh,Karnataka,2025-07-25,2025-09-08,59703.0,57033,1562057,57162,5404,10445932,Rahul Sharma,Active
IND-CMP-10332,MakeMyTrip,Back to School,Healthcare,WhatsApp,Bhopal,Maharashtra,2025-04-27,2025-05-18,1263101.0,1420543,1706314,207107,41232,205252896,Anjali Mehta,Completed
IND-CMP-10032,Byju's,End of Season Sale,Real Estate,YouTube,Noida,Bihar,2025-01-02,2025-01-12,1460436.0,1255799,1188807,26750,4721,10995209,Amit Verma,Paused
IND-CMP-10386,Paytm,Back to School,Retail,LinkedIn,Nagpur,Haryana,2025-10-16,2025-11-30,1195763.0,1095324,469475,79383,4836,12191556,Pooja Singh,Completed
IND-CMP-10828,Swiggy,Independence Day Sale,Healthcare,Email,Kolkata,Gujarat,2025-06-30,2025-07-13,594837.0,664842,1578304,20410,3352,14242648,Sneha Reddy,Active
IND-CMP-10771,Nykaa,Independence Day Sale,Retail,LinkedIn,Indore,Andhra Pradesh,2025-10-09,2025-10-27,522205.0,539018,693608,133467,12848,36565408,Karthik Iyer,Active
IND-CMP-10521,Zomato,Back to School,EdTech,Email,Chennai,Delhi,2025-08-03,2025-09-09,438151.0,314746,1757923,93304,5181,20242167,Amit Verma,Active
IND-CMP-10946,Flipkart,Flash Sale,EdTech,Instagram,Hyderabad,Haryana,2025-09-25,2025-10-27,746667.0,-5000,382317,30364,1873,604979,Rohit Gupta,Completed
IND-CMP-10364,Nykaa,Diwali Campaign,EdTech,Instagram,Lucknow,West Bengal,2025-07-26,2025-08-05,1300867.0,826782,470009,68746,5540,19921840,Pooja Singh,Active
IND-CMP-10374,Flipkart,New Launch,E-commerce,YouTube,Chennai,Maharashtra,2025-04-30,2025-05-23,891486.0,705105,1247329,39337,3673,10203594,Rohit Gupta,Paused
IND-CMP-10736,Meesho,Republic Day Offer,Retail,Facebook Ads,Delhi,Haryana,2025-03-03,2025-03-15,690882.0,772869,871998,144610,13998,59043564,Amit Verma,Completed
IND-CMP-10912,Swiggy,Diwali Campaign,FinTech,WhatsApp,Chennai,Gujarat,2025-08-04,2025-09-15,491641.0,520889,1508630,82463,13885,62940705,Pooja Singh,Active
IND-CMP-10074,PhonePe,New Launch,E-commerce,Email,Lucknow,Telangana,2025-04-04,2025-04-18,284645.0,235673,91203,3886,539,2682603,Priya Nair,Paused
IND-CMP-10022,Flipkart,Festive Sale,E-commerce,Instagram,Hyderabad,Telangana,2025-09-25,2025-10-14,393925.0,441470,429410,82609,4149,11940822,Amit Verma,Completed
IND-CMP-10940,Byju's,Republic Day Offer,Retail,Email,Lucknow,Telangana,2025-02-06,2025-03-19,966131.0,1071282,1110988,183642,1560,5168280,Vikram Patel,Paused
IND-CMP-10639,BigBasket,End of Season Sale,Travel,Instagram,Lucknow,Punjab,2025-05-05,2025-05-27,65009.0,46666,883808,161120,3813,14146230,Vikram Patel,Active
IND-CMP-10615,Meesho,Summer Offer,EdTech,Instagram,Hyderabad,Haryana,2025-08-01,2025-08-18,1294563.0,1148800,993043,20379,2734,10823906,Rohit Gupta,Paused
IND-CMP-10661,Zomato,End of Season Sale,Retail,Google Ads,Chennai,Karnataka,2025-08-11,2025-09-18,1172981.0,1229990,1352236,43124,177,600561,Karthik Iyer,Active
IND-CMP-10165,Meesho,Festive Sale,Real Estate,Facebook Ads,Kochi,Gujarat,2025-01-07,2025-02-21,1184552.0,786106,355887,45129,2131,10288468,Sneha Reddy,Completed
IND-CMP-10244,MakeMyTrip,Republic Day Offer,Healthcare,LinkedIn,Coimbatore,West Bengal,2025-03-29,2025-04-18,501258.0,366035,767741,146063,27049,101136211,Karthik Iyer,Completed
IND-CMP-10925,PhonePe,Diwali Campaign,Real Estate,YouTube,Bhopal,Uttar Pradesh,2025-02-28,2025-03-13,505002.0,470450,1787568,121230,18901,24155478,Rohit Gupta,Completed
IND-CMP-10841,Amazon India,Independence Day Sale,EdTech,Facebook Ads,Mumbai,Maharashtra,2025-08-22,2025-10-05,,357193,559878,54331,8217,15415092,Pooja Singh,Active
IND-CMP-10590,MakeMyTrip,Summer Offer,Retail,LinkedIn,Indore,Tamil Nadu,2025-04-07,2025-04-17,589610.0,566818,1598537,142143,23042,24770150,Rahul Sharma,Completed
IND-CMP-10320,Zomato,Flash Sale,FinTech,LinkedIn,Kolkata,Kerala,2025-05-20,2025-07-01,115627.0,98138,1106806,127994,25577,117833239,Karthik Iyer,Active
IND-CMP-10064,Tata 1mg,Back to School,Healthcare,Google Ads,Bhopal,Gujarat,2025-06-11,2025-07-07,532317.0,340496,538864,20342,1713,6655005,Vikram Patel,Completed
IND-CMP-10692,Ola,New Launch,Real Estate,Google Ads,Lucknow,Tamil Nadu,2025-03-11,2025-03-26,273648.0,286621,1483659,31814,1751,1106632,Priya Nair,Paused
IND-CMP-10272,Ola,Back to School,Retail,Instagram,Kochi,Uttar Pradesh,2025-05-25,2025-06-01,1260120.0,1009925,1547433,116033,7786,2748458,Neha Kapoor,Completed
