campaign_id,company,campaign_name,industry,channel,city,state,start_date,end_date,budget_inr,spend_inr,impressions,clicks,conversions,revenue_inr,campaign_manager,status,city_is_null,campaign_manager_is_null,roi_pct
IND-CMP-10460,5d75801fc8c78d872232bcf5c15948b0d4e9fb957697d1017fd56cae4b726160,88ccbfe6d3f1912c8c158f098a1dd4badc5d09da4be994c9ab21e981f913f130,Travel,WhatsApp,Lucknow,Telangana,2025-01-19,2025-02-24,658083.0,610948,98204,3762,703,3434155,Rohit Gupta,Active,0,0,562.1026666753962
IND-CMP-10816,eb46c4263e566890ac41b23924b12fe0371ae76eaf769b88fd2c86600622bbbe,4bd79d87f0f585d15172736109237e3fd38b453d00e561836d8857a30a811359,FinTech,Email,Hyderabad,Haryana,2025-03-22,2025-04-29,350974.0,346977,1929046,217550,3596,12050196,Karthik Iyer,Completed,0,0,3472.9091553618828
IND-CMP-10099,f5a1e8c16d95b88a1e9b183305c963cc639e0af4ad62b8fb7ef45ceca0004d85,3549a5ecd2535620087048c7370b48577966d0388ec313810341a14a03cd1832,EdTech,LinkedIn,Chandigarh,Karnataka,2025-07-25,2025-09-08,59703.0,57033,1562057,57162,5404,10445932,Rahul Sharma,Active,0,0,18315.59272701769
IND-CMP-10332,8346748ce36cedf11bacb25df413de9b1e49819d6f3b278e1bc8f3246d86f91c,193a2ce2a817fcc3a9ab24e5d186d1411a3fc95e7d48ebfb4240787566da2bc9,Healthcare,WhatsApp,Bhopal,Maharashtra,2025-04-27,2025-05-18,1263101.0,1420543,1706314,207107,41232,205252896,Anjali Mehta,Completed,0,0,14448.904116242871
IND-CMP-10032,f5a1e8c16d95b88a1e9b183305c963cc639e0af4ad62b8fb7ef45ceca0004d85,cb8a1597844cb4b7d4799e25aee17069e86a91323ff23e6777944b2abca8c3d5,Real Estate,YouTube,Noida,Bihar,2025-01-02,2025-01-12,1460436.0,1255799,1188807,26750,4721,10995209,Amit Verma,Paused,0,0,875.5548459586287
IND-CMP-10386,b2a940b2a2ea3fe619e319d852a5260a74caccf5d86ade22d2a29ca327689ee1,193a2ce2a817fcc3a9ab24e5d186d1411a3fc95e7d48ebfb4240787566da2bc9,Retail,LinkedIn,Nagpur,Haryana,2025-10-16,2025-11-30,1195763.0,1095324,469475,79383,4836,12191556,Pooja Singh,Completed,0,0,1113.0547673565084
IND-CMP-10828,5dfec4958bfdf2f0c41409de97176deced4c0456dbb1b174853cbe19515625ee,4bd79d87f0f585d15172736109237e3fd38b453d00e561836d8857a30a811359,Healthcare,Email,Kolkata,Gujarat,2025-06-30,2025-07-13,594837.0,664842,1578304,20410,3352,14242648,Sneha Reddy,Active,0,0,2142.2605671723504
IND-CMP-10771,9c5f385661964130aeb2c1853a3bcfa7ebfeae022329887a2c1b7f26b28b31dd,4bd79d87f0f585d15172736109237e3fd38b453d00e561836d8857a30a811359,Retail,LinkedIn,Indore,Andhra Pradesh,2025-10-09,2025-10-27,522205.0,539018,693608,133467,12848,36565408,Karthik Iyer,Active,0,0,6783.708150748213
IND-CMP-10521,f92d73d6ab3297b563b9c35cfe29b1f1f43cf7c94d1adecfd2b2f62a61dfc809,193a2ce2a817fcc3a9ab24e5d186d1411a3fc95e7d48ebfb4240787566da2bc9,EdTech,Email,Chennai,Delhi,2025-08-03,2025-09-09,438151.0,314746,1757923,93304,5181,20242167,Amit Verma,Active,0,0,6431.270611858452
IND-CMP-10946,820763ae11ab34ea1158eade919f9fc3d96d0217f1cc1c1aad98cc204ebc11bd,88ccbfe6d3f1912c8c158f098a1dd4badc5d09da4be994c9ab21e981f913f130,EdTech,Instagram,Hyderabad,Haryana,2025-09-25,2025-10-27,746667.0,-5000,382317,30364,1873,604979,Rohit Gupta,Completed,0,0,-12099.58
IND-CMP-10364,9c5f385661964130aeb2c1853a3bcfa7ebfeae022329887a2c1b7f26b28b31dd,31879b9a4d7e6943e2280a11a52e23f1019ceb24eed35a444ae5bb1def1a9eb7,EdTech,Instagram,Lucknow,West Bengal,2025-07-26,2025-08-05,1300867.0,826782,470009,68746,5540,19921840,Pooja Singh,Active,0,0,2409.5638269822034
IND-CMP-10374,820763ae11ab34ea1158eade919f9fc3d96d0217f1cc1c1aad98cc204ebc11bd,85c47ac76e6e8e2bae78e5343a1337d8a3e2a8e9c1a4a9e43aba11fde62dbd87,E-commerce,YouTube,Chennai,Maharashtra,2025-04-30,2025-05-23,891486.0,705105,1247329,39337,3673,10203594,Rohit Gupta,Paused,0,0,1447.1027719275853
IND-CMP-10736,9e06cb2198724c063b487ca91c2a1c213fc36991ab1aa20864152b18c64cc860,3549a5ecd2535620087048c7370b48577966d0388ec313810341a14a03cd1832,Retail,Facebook Ads,Delhi,Haryana,2025-03-03,2025-03-15,690882.0,772869,871998,144610,13998,59043564,Amit Verma,Completed,0,0,7639.530631969971
IND-CMP-10912,5dfec4958bfdf2f0c41409de97176deced4c0456dbb1b174853cbe19515625ee,31879b9a4d7e6943e2280a11a52e23f1019ceb24eed35a444ae5bb1def1a9eb7,FinTech,WhatsApp,Chennai,Gujarat,2025-08-04,2025-09-15,491641.0,520889,1508630,82463,13885,62940705,Pooja Singh,Active,0,0,12083.323894342173
IND-CMP-10074,eb46c4263e566890ac41b23924b12fe0371ae76eaf769b88fd2c86600622bbbe,85c47ac76e6e8e2bae78e5343a1337d8a3e2a8e9c1a4a9e43aba11fde62dbd87,E-commerce,Email,Lucknow,Telangana,2025-04-04,2025-04-18,284645.0,235673,91203,3886,539,2682603,Priya Nair,Paused,0,0,1138.2733703054657
IND-CMP-10022,820763ae11ab34ea1158eade919f9fc3d96d0217f1cc1c1aad98cc204ebc11bd,2b3b7daee9bb6504ecb841ba1e79acd9caf495daa61e7e2e8a6444c0a2355977,E-commerce,Instagram,Hyderabad,Telangana,2025-09-25,2025-10-14,393925.0,441470,429410,82609,4149,11940822,Amit Verma,Completed,0,0,2704.7867352254966
